coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-96,-96.0,Personal
0.0,0.0,-98,-97.0,Personal
0.0,0.0,-93,-95.66666666666667,Personal
0.0,0.0,-88,-93.75,Personal
0.0,0.0,-93,-93.6,Personal
0.0,0.0,-92,-93.33333333333333,Personal
0.0,0.0,-96,-93.71428571428571,Personal
0.0,0.0,-102,-94.75,Personal
0.0,0.0,-95,-94.77777777777777,Personal
0.0,0.0,-98,-95.1,Personal
0.0,0.0,-92,-94.81818181818181,Personal
0.0,0.0,-97,-97.0,Personal
0.0,0.0,-90,-93.5,Personal
0.0,0.0,-89,-92.0,Personal
0.0,0.0,-92,-92.0,Personal
0.0,0.0,-90,-91.6,Personal
0.0,0.0,-91,-91.5,Personal
0.0,0.0,-91,-91.42857142857143,Personal
0.0,0.0,-93,-91.625,Personal
0.0,0.0,-93,-91.77777777777777,Personal
0.0,0.0,-93,-91.9,Personal
0.0,0.0,-92,-91.9090909090909,Personal
0.0,0.0,-93,-92.0,Personal
0.0,0.0,-91,-91.92307692307692,Personal
0.0,0.0,-93,-92.0,Personal
0.0,0.0,-90,-91.86666666666666,Personal
0.0,0.0,-90,-91.75,Personal
0.0,0.0,-88,-91.52941176470588,Personal
0.0,0.0,-86,-91.22222222222223,Personal
0.0,0.0,-85,-90.89473684210526,Personal
0.0,0.0,-85,-90.6,Personal
0.0,0.0,-85,-90.33333333333333,Personal
0.0,0.0,-87,-90.18181818181819,Personal
0.0,0.0,-88,-90.08695652173913,Personal
0.0,0.0,-89,-90.04166666666667,Personal
0.0,0.0,-89,-89.0,Personal
0.0,0.0,-92,-90.5,Personal
0.0,0.0,-91,-90.66666666666667,Personal
0.0,0.0,-94,-91.5,Personal
0.0,0.0,-87,-90.6,Personal
0.0,0.0,-89,-90.33333333333333,Personal
0.0,0.0,-90,-90.28571428571429,Personal
0.0,0.0,-80,-89.0,Personal
0.0,0.0,-81,-88.11111111111111,Personal
0.0,0.0,-22,-22.0,Personal
0.0,0.0,-21,-21.5,Personal
0.0,0.0,-20,-21.0,Personal
0.0,0.0,-20,-20.75,Personal
0.0,0.0,-23,-21.2,Personal
0.0,0.0,-18,-20.666666666666668,Personal
0.0,0.0,-22,-20.857142857142858,Personal
0.0,0.0,-25,-21.375,Personal
0.0,0.0,-25,-21.77777777777778,Personal
0.0,0.0,-22,-21.8,Personal
0.0,0.0,-22,-21.818181818181817,Personal
0.0,0.0,-22,-21.833333333333332,Personal
0.0,0.0,-25,-22.076923076923077,Personal
0.0,0.0,-24,-22.214285714285715,Personal
0.0,0.0,-22,-22.2,Personal
0.0,0.0,-24,-22.3125,Personal
0.0,0.0,-25,-22.470588235294116,Personal
0.0,0.0,-24,-22.555555555555557,Personal
0.0,0.0,-21,-22.473684210526315,Personal
0.0,0.0,-22,-22.45,Personal
0.0,0.0,-22,-22.428571428571427,Personal
0.0,0.0,-24,-22.5,Personal
0.0,0.0,-25,-22.608695652173914,Personal
0.0,0.0,-22,-22.583333333333332,Personal
0.0,0.0,-22,-22.56,Personal
0.0,0.0,-22,-22.53846153846154,Personal
0.0,0.0,-22,-22.0,Personal
0.0,0.0,-20,-21.0,Personal
0.0,0.0,-20,-20.666666666666668,Personal
0.0,0.0,-22,-21.0,Personal
0.0,0.0,-20,-20.8,Personal
0.0,0.0,-20,-20.666666666666668,Personal
0.0,0.0,-20,-20.571428571428573,Personal
0.0,0.0,-20,-20.5,Personal
0.0,0.0,-22,-20.666666666666668,Personal
0.0,0.0,-20,-20.6,Personal
0.0,0.0,-20,-20.545454545454547,Personal
0.0,0.0,-23,-20.75,Personal
0.0,0.0,-20,-20.692307692307693,Personal
0.0,0.0,-22,-20.785714285714285,Personal
0.0,0.0,-20,-20.733333333333334,Personal
0.0,0.0,-22,-20.8125,Personal
0.0,0.0,-20,-20.764705882352942,Personal
0.0,0.0,-20,-20.72222222222222,Personal
0.0,0.0,-20,-20.68421052631579,Personal
0.0,0.0,-21,-20.7,Personal
0.0,0.0,-18,-20.571428571428573,Personal
0.0,0.0,-23,-20.681818181818183,Personal
0.0,0.0,-20,-20.652173913043477,Personal
0.0,0.0,-22,-20.708333333333332,Personal
0.0,0.0,-20,-20.68,Personal
0.0,0.0,-20,-20.653846153846153,Personal
0.0,0.0,-21,-20.666666666666668,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-20,-20.0,Personal
0.0,0.0,-21,-20.083333333333332,Personal
0.0,0.0,-20,-20.076923076923077,Personal
