Fingerprint ID,coordinate_X,coordinate_Y,zone,b8:8a:60:97:e2:b4,34:fc:b9:18:e5:f1,34:fc:b9:18:e5:f0,34:fc:b9:18:e5:f2,34:fc:b9:18:b6:d1,34:fc:b9:18:b6:d0,34:fc:b9:18:b6:d2,34:fc:b9:18:e7:a1,34:fc:b9:18:e7:a0,34:fc:b9:18:e7:a2,34:fc:b9:18:e9:b1,34:fc:b9:18:e9:b2,34:fc:b9:18:e9:b0,34:fc:b9:18:e7:b0,34:fc:b9:18:e7:b2,34:fc:b9:18:e7:b1,78:17:be:b8:16:84,34:2c:c4:9d:1d:31,18:31:bf:3f:da:08,34:fc:b9:18:e5:41,34:fc:b9:18:e5:50,34:fc:b9:18:e5:e2,34:fc:b9:18:b6:c1,cc:19:a8:3b:5a:32,cc:19:a8:3b:5a:30,34:fc:b9:18:e9:a1,34:fc:b9:18:e9:a0,34:fc:b9:18:e9:a2,34:fc:b9:18:b6:c0,34:fc:b9:18:b6:c2,34:fc:b9:18:e5:e1,34:fc:b9:18:e5:e0,54:67:51:a6:37:e1,50:c7:bf:c1:44:c6,00:05:ca:7e:f1:b8,00:05:ca:7e:f1:b9,84:16:f9:3f:40:00,1c:ab:c0:ee:a5:39,00:06:91:72:e3:70,00:06:91:72:e3:72,a8:bd:27:4a:a9:21,a8:bd:27:4a:a9:22,34:fc:b9:18:e6:a1,E1:E9:C3:D9:09:C3,FF:20:88:3C:97:E7,CA:E0:7D:11:26:B3
1065,2.0,2.0,Personal,-71,-74,-76,-76,-88,-90,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-90,-81
1066,2.0,2.0,Personal,-62,-73,-75,-75,0,0,0,-63,-64,-64,-86,-89,-90,-92,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-89,-80
1067,2.0,2.0,Personal,-62,-68,-72,-72,0,-91,-91,0,0,0,0,-93,-93,-89,-90,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-86,-80
1068,2.0,2.0,Personal,-64,-73,-76,-75,-82,-86,-86,0,0,0,0,0,0,-90,-89,-89,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-93,-82
1069,2.0,2.0,Personal,-62,-75,-77,-76,-89,-91,-93,0,0,0,0,-92,-91,-91,-92,0,0,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-90,-82
1070,2.0,2.0,Personal,-60,-74,-77,-78,0,0,0,0,0,0,-89,-89,-91,-91,-88,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-92,-81
1071,2.0,2.0,Personal,-59,-68,-72,-72,0,0,0,0,0,0,-86,-91,-89,-91,-91,0,-93,0,-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,-84,-80
1072,2.0,2.0,Personal,-59,-72,-74,-74,0,0,0,-63,-64,-64,-86,-90,-90,-90,-91,-86,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-83,-84
1073,2.0,2.0,Personal,-56,-72,-75,-75,-82,-85,-85,0,0,0,0,0,0,0,0,0,-94,0,0,-88,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,-84,-82
1074,2.0,2.0,Personal,-65,-72,-75,-75,-84,-85,-85,0,0,0,0,0,0,-89,-89,-86,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-82,-82
