coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-25,-25.0,Personal
0.0,0.0,-27,-26.0,Personal
0.0,0.0,-28,-26.666666666666668,Personal
0.0,0.0,-28,-27.0,Personal
0.0,0.0,-28,-27.2,Personal
0.0,0.0,-28,-27.333333333333332,Personal
0.0,0.0,-28,-27.428571428571427,Personal
0.0,0.0,-28,-27.5,Personal
0.0,0.0,-28,-27.555555555555557,Personal
0.0,0.0,-28,-27.6,Personal
0.0,0.0,-28,-27.636363636363637,Personal
0.0,0.0,-28,-27.666666666666668,Personal
0.0,0.0,-28,-27.692307692307693,Personal
0.0,0.0,-28,-27.714285714285715,Personal
0.0,0.0,-28,-27.733333333333334,Personal
0.0,0.0,-28,-27.75,Personal
0.0,0.0,-29,-27.823529411764707,Personal
0.0,0.0,-28,-27.833333333333332,Personal
0.0,0.0,-29,-27.894736842105264,Personal
0.0,0.0,-28,-27.9,Personal
0.0,0.0,-29,-27.952380952380953,Personal
0.0,0.0,-28,-27.954545454545453,Personal
0.0,0.0,-29,-28.0,Personal
0.0,0.0,-28,-28.0,Personal
0.0,0.0,-31,-28.12,Personal
0.0,0.0,-31,-28.23076923076923,Personal
0.0,0.0,-32,-28.37037037037037,Personal
0.0,0.0,-30,-30.0,Personal
0.0,0.0,-32,-31.0,Personal
0.0,0.0,-32,-31.333333333333332,Personal
0.0,0.0,-31,-31.25,Personal
0.0,0.0,-32,-31.4,Personal
0.0,0.0,-31,-31.333333333333332,Personal
0.0,0.0,-31,-31.285714285714285,Personal
0.0,0.0,-31,-31.25,Personal
0.0,0.0,-32,-31.333333333333332,Personal
0.0,0.0,-31,-31.3,Personal
0.0,0.0,-28,-31.0,Personal
0.0,0.0,-28,-30.75,Personal
0.0,0.0,-31,-30.76923076923077,Personal
0.0,0.0,-31,-30.785714285714285,Personal
0.0,0.0,-31,-30.8,Personal
0.0,0.0,-31,-30.8125,Personal
0.0,0.0,-25,-30.470588235294116,Personal
0.0,0.0,-25,-30.166666666666668,Personal
0.0,0.0,-25,-29.894736842105264,Personal
0.0,0.0,-28,-29.8,Personal
0.0,0.0,-25,-29.571428571428573,Personal
0.0,0.0,-25,-29.363636363636363,Personal
0.0,0.0,-25,-29.17391304347826,Personal
0.0,0.0,-27,-29.083333333333332,Personal
0.0,0.0,-25,-28.92,Personal
0.0,0.0,-25,-28.76923076923077,Personal
0.0,0.0,-25,-25.0,Personal
0.0,0.0,-27,-26.0,Personal
0.0,0.0,-25,-25.666666666666668,Personal
0.0,0.0,-25,-25.5,Personal
0.0,0.0,-25,-25.4,Personal
0.0,0.0,-26,-25.5,Personal
0.0,0.0,-27,-25.714285714285715,Personal
0.0,0.0,-25,-25.625,Personal
0.0,0.0,-25,-25.555555555555557,Personal
0.0,0.0,-27,-25.7,Personal
0.0,0.0,-28,-25.90909090909091,Personal
0.0,0.0,-27,-26.0,Personal
0.0,0.0,-28,-26.153846153846153,Personal
0.0,0.0,-27,-26.214285714285715,Personal
0.0,0.0,-28,-26.333333333333332,Personal
0.0,0.0,-32,-26.6875,Personal
0.0,0.0,-28,-26.764705882352942,Personal
0.0,0.0,-28,-26.833333333333332,Personal
0.0,0.0,-28,-26.894736842105264,Personal
0.0,0.0,-28,-26.95,Personal
0.0,0.0,-28,-27.0,Personal
