coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-38,-38.0,Personal
0.0,0.0,-38,-38.0,Personal
0.0,0.0,-38,-38.0,Personal
0.0,0.0,-38,-38.0,Personal
0.0,0.0,-38,-38.0,Personal
0.0,0.0,-38,-38.0,Personal
0.0,0.0,-38,-38.0,Personal
0.0,0.0,-38,-38.0,Personal
0.0,0.0,-37,-37.888888888888886,Personal
0.0,0.0,-37,-37.8,Personal
0.0,0.0,-37,-37.72727272727273,Personal
0.0,0.0,-37,-37.666666666666664,Personal
0.0,0.0,-37,-37.61538461538461,Personal
0.0,0.0,-37,-37.57142857142857,Personal
0.0,0.0,-37,-37.53333333333333,Personal
0.0,0.0,-37,-37.5,Personal
0.0,0.0,-37,-37.470588235294116,Personal
0.0,0.0,-37,-37.44444444444444,Personal
0.0,0.0,-37,-37.421052631578945,Personal
0.0,0.0,-37,-37.4,Personal
0.0,0.0,-37,-37.38095238095238,Personal
0.0,0.0,-38,-37.40909090909091,Personal
0.0,0.0,-37,-37.391304347826086,Personal
0.0,0.0,-37,-37.375,Personal
0.0,0.0,-37,-37.36,Personal
0.0,0.0,-37,-37.34615384615385,Personal
0.0,0.0,-37,-37.333333333333336,Personal
0.0,0.0,-37,-37.32142857142857,Personal
0.0,0.0,-37,-37.310344827586206,Personal
0.0,0.0,-37,-37.3,Personal
0.0,0.0,-37,-37.29032258064516,Personal
0.0,0.0,-37,-37.28125,Personal
0.0,0.0,-37,-37.27272727272727,Personal
0.0,0.0,-37,-37.26470588235294,Personal
0.0,0.0,-38,-37.285714285714285,Personal
0.0,0.0,-37,-37.27777777777778,Personal
0.0,0.0,-38,-37.2972972972973,Personal
0.0,0.0,-38,-37.31578947368421,Personal
0.0,0.0,-37,-37.30769230769231,Personal
0.0,0.0,-38,-37.325,Personal
0.0,0.0,-38,-37.34146341463415,Personal
0.0,0.0,-40,-37.404761904761905,Personal
0.0,0.0,-38,-37.41860465116279,Personal
0.0,0.0,-38,-37.43181818181818,Personal
0.0,0.0,-38,-37.44444444444444,Personal
0.0,0.0,-38,-37.45652173913044,Personal
0.0,0.0,-38,-37.46808510638298,Personal
0.0,0.0,-38,-37.479166666666664,Personal
0.0,0.0,-37,-37.46938775510204,Personal
0.0,0.0,-37,-37.46,Personal
0.0,0.0,-38,-37.470588235294116,Personal
0.0,0.0,-37,-37.46153846153846,Personal
0.0,0.0,-38,-37.471698113207545,Personal
0.0,0.0,-37,-37.46296296296296,Personal
0.0,0.0,-37,-37.45454545454545,Personal
0.0,0.0,-38,-37.464285714285715,Personal
0.0,0.0,-38,-37.473684210526315,Personal
0.0,0.0,-38,-37.48275862068966,Personal
0.0,0.0,-38,-37.49152542372882,Personal
0.0,0.0,-38,-37.5,Personal
0.0,0.0,-38,-37.50819672131148,Personal
0.0,0.0,-38,-37.516129032258064,Personal
0.0,0.0,-38,-37.523809523809526,Personal
0.0,0.0,-38,-37.53125,Personal
0.0,0.0,-38,-37.53846153846154,Personal
0.0,0.0,-38,-37.54545454545455,Personal
0.0,0.0,-38,-37.55223880597015,Personal
0.0,0.0,-38,-37.55882352941177,Personal
0.0,0.0,-38,-37.56521739130435,Personal
0.0,0.0,-38,-37.57142857142857,Personal
0.0,0.0,-38,-37.57746478873239,Personal
0.0,0.0,-38,-37.583333333333336,Personal
0.0,0.0,-38,-37.58904109589041,Personal
0.0,0.0,-38,-37.5945945945946,Personal
0.0,0.0,-38,-37.6,Personal
0.0,0.0,-38,-37.60526315789474,Personal
0.0,0.0,-38,-37.61038961038961,Personal
0.0,0.0,-38,-37.61538461538461,Personal
0.0,0.0,-38,-37.620253164556964,Personal
0.0,0.0,-38,-37.625,Personal
0.0,0.0,-38,-37.629629629629626,Personal
0.0,0.0,-37,-37.6219512195122,Personal
0.0,0.0,-37,-37.6144578313253,Personal
0.0,0.0,-37,-37.607142857142854,Personal
0.0,0.0,-37,-37.6,Personal
0.0,0.0,-37,-37.593023255813954,Personal
0.0,0.0,-37,-37.58620689655172,Personal
0.0,0.0,-37,-37.57954545454545,Personal
0.0,0.0,-37,-37.57303370786517,Personal
0.0,0.0,-37,-37.56666666666667,Personal
0.0,0.0,-37,-37.56043956043956,Personal
0.0,0.0,-37,-37.55434782608695,Personal
0.0,0.0,-37,-37.54838709677419,Personal
0.0,0.0,-37,-37.54255319148936,Personal
0.0,0.0,-37,-37.536842105263155,Personal
0.0,0.0,-37,-37.53125,Personal
0.0,0.0,-37,-37.52577319587629,Personal
0.0,0.0,-37,-37.52040816326531,Personal
0.0,0.0,-37,-37.515151515151516,Personal
0.0,0.0,-37,-37.51,Personal
0.0,0.0,-37,-37.504950495049506,Personal
0.0,0.0,-37,-37.5,Personal
0.0,0.0,-37,-37.49514563106796,Personal
0.0,0.0,-37,-37.49038461538461,Personal
0.0,0.0,-37,-37.48571428571429,Personal
0.0,0.0,-37,-37.4811320754717,Personal
0.0,0.0,-37,-37.47663551401869,Personal
0.0,0.0,-37,-37.47222222222222,Personal
0.0,0.0,-37,-37.46788990825688,Personal
0.0,0.0,-37,-37.46363636363636,Personal
0.0,0.0,-37,-37.45945945945946,Personal
0.0,0.0,-37,-37.455357142857146,Personal
0.0,0.0,-38,-37.46017699115044,Personal
0.0,0.0,-37,-37.45614035087719,Personal
0.0,0.0,-38,-37.46086956521739,Personal
0.0,0.0,-37,-37.456896551724135,Personal
0.0,0.0,-37,-37.452991452991455,Personal
0.0,0.0,-37,-37.44915254237288,Personal
0.0,0.0,-37,-37.445378151260506,Personal
0.0,0.0,-37,-37.44166666666667,Personal
0.0,0.0,-37,-37.43801652892562,Personal
0.0,0.0,-38,-37.442622950819676,Personal
0.0,0.0,-38,-37.447154471544714,Personal
0.0,0.0,-37,-37.443548387096776,Personal
0.0,0.0,-37,-37.44,Personal
0.0,0.0,-38,-37.44444444444444,Personal
0.0,0.0,-38,-37.44881889763779,Personal
0.0,0.0,-37,-37.4453125,Personal
0.0,0.0,-37,-37.44186046511628,Personal
0.0,0.0,-37,-37.43846153846154,Personal
0.0,0.0,-37,-37.43511450381679,Personal
0.0,0.0,-37,-37.43181818181818,Personal
0.0,0.0,-38,-37.43609022556391,Personal
0.0,0.0,-38,-37.440298507462686,Personal
0.0,0.0,-38,-37.44444444444444,Personal
0.0,0.0,-38,-37.4485294117647,Personal
0.0,0.0,-38,-37.45255474452555,Personal
0.0,0.0,-38,-37.45652173913044,Personal
0.0,0.0,-39,-37.46762589928058,Personal
0.0,0.0,-38,-37.47142857142857,Personal
0.0,0.0,-39,-37.4822695035461,Personal
0.0,0.0,-38,-37.485915492957744,Personal
0.0,0.0,-39,-37.49650349650349,Personal
0.0,0.0,-38,-37.5,Personal
0.0,0.0,-38,-37.50344827586207,Personal
0.0,0.0,-38,-37.50684931506849,Personal
0.0,0.0,-38,-37.51020408163265,Personal
0.0,0.0,-38,-37.513513513513516,Personal
0.0,0.0,-38,-37.51677852348993,Personal
0.0,0.0,-38,-37.52,Personal
0.0,0.0,-38,-37.52317880794702,Personal
0.0,0.0,-38,-37.526315789473685,Personal
0.0,0.0,-38,-37.529411764705884,Personal
0.0,0.0,-38,-37.532467532467535,Personal
0.0,0.0,-38,-37.535483870967745,Personal
0.0,0.0,-38,-37.53846153846154,Personal
0.0,0.0,-38,-37.54140127388535,Personal
0.0,0.0,-38,-37.54430379746835,Personal
0.0,0.0,-38,-37.54716981132076,Personal
0.0,0.0,-37,-37.54375,Personal
0.0,0.0,-36,-37.53416149068323,Personal
0.0,0.0,-37,-37.53086419753087,Personal
0.0,0.0,-37,-37.52760736196319,Personal
0.0,0.0,-37,-37.52439024390244,Personal
0.0,0.0,-37,-37.52121212121212,Personal
0.0,0.0,-37,-37.51807228915663,Personal
0.0,0.0,-37,-37.51497005988024,Personal
0.0,0.0,-37,-37.51190476190476,Personal
0.0,0.0,-37,-37.50887573964497,Personal
0.0,0.0,-37,-37.50588235294118,Personal
