,coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0,0.0,0.0,-56,-56.0,Personal
1,0.0,0.0,-50,-53.0,Personal
2,0.0,0.0,-52,-52.666666666666664,Personal
3,0.0,0.0,-49,-51.75,Personal
4,0.0,0.0,-53,-52.0,Personal
5,0.0,0.0,-53,-52.166666666666664,Personal
6,0.0,0.0,-49,-51.714285714285715,Personal
7,0.0,0.0,-53,-51.875,Personal
8,0.0,0.0,-54,-52.111111111111114,Personal
9,0.0,0.0,-55,-52.4,Personal
10,0.0,0.0,-52,-52.36363636363637,Personal
11,0.0,0.0,-55,-52.583333333333336,Personal
12,0.0,0.0,-53,-52.61538461538461,Personal
13,0.0,0.0,-49,-52.357142857142854,Personal
14,0.0,0.0,-52,-52.333333333333336,Personal
15,0.0,0.0,-55,-52.5,Personal
16,0.0,0.0,-50,-52.35294117647059,Personal
17,0.0,0.0,-53,-52.388888888888886,Personal
18,0.0,0.0,-49,-52.21052631578947,Personal
19,0.0,0.0,-53,-52.25,Personal
20,0.0,0.0,-54,-52.333333333333336,Personal
21,0.0,0.0,-50,-52.22727272727273,Personal
22,0.0,0.0,-52,-52.21739130434783,Personal
23,0.0,0.0,-56,-52.375,Personal
24,0.0,0.0,-53,-52.34782608695652,Personal
25,0.0,0.0,-53,-52.391304347826086,Personal
26,0.0,0.0,-50,-52.43478260869565,Personal
27,0.0,0.0,-49,-52.26086956521739,Personal
28,0.0,0.0,-54,-52.45454545454545,Personal
29,0.0,0.0,-52,-52.2,Personal
30,0.0,0.0,-52,-52.2,Personal
31,0.0,0.0,-49,-52.04761904761905,Personal
32,0.0,0.0,-54,-52.0,Personal
33,0.0,0.0,-51,-51.904761904761905,Personal
34,0.0,0.0,-54,-52.142857142857146,Personal
35,0.0,0.0,-49,-52.0,Personal
36,0.0,0.0,-52,-52.0,Personal
37,0.0,0.0,-55,-52.0,Personal
38,0.0,0.0,-53,-52.095238095238095,Personal
39,0.0,0.0,-56,-52.42857142857143,Personal
40,0.0,0.0,-57,-52.55,Personal
41,0.0,0.0,-49,-52.5,Personal
42,0.0,0.0,-55,-52.65,Personal
43,0.0,0.0,-56,-52.80952380952381,Personal
44,0.0,0.0,-50,-52.523809523809526,Personal
45,0.0,0.0,-52,-52.476190476190474,Personal
46,0.0,0.0,-49,-52.31818181818182,Personal
47,0.0,0.0,-57,-52.5,Personal
48,0.0,0.0,-53,-52.80952380952381,Personal
49,0.0,0.0,-54,-52.86363636363637,Personal
50,0.0,0.0,-49,-52.63636363636363,Personal
51,0.0,0.0,-56,-52.78260869565217,Personal
52,0.0,0.0,-49,-52.625,Personal
53,0.0,0.0,-53,-52.64,Personal
54,0.0,0.0,-56,-52.8,Personal
55,0.0,0.0,-56,-52.96,Personal
56,0.0,0.0,-48,-52.92,Personal
57,0.0,0.0,-53,-52.92307692307692,Personal
58,0.0,0.0,-57,-53.083333333333336,Personal
59,0.0,0.0,-48,-53.041666666666664,Personal
60,0.0,0.0,-54,-53.125,Personal
61,0.0,0.0,-49,-52.875,Personal
62,0.0,0.0,-49,-52.72,Personal
63,0.0,0.0,-53,-52.72,Personal
64,0.0,0.0,-53,-52.6,Personal
65,0.0,0.0,-56,-52.56,Personal
66,0.0,0.0,-53,-52.72,Personal
67,0.0,0.0,-54,-52.68,Personal
68,0.0,0.0,-54,-52.6,Personal
69,0.0,0.0,-55,-52.8,Personal
70,0.0,0.0,-48,-52.61538461538461,Personal
71,0.0,0.0,-49,-52.64,Personal
72,0.0,0.0,-53,-52.48,Personal
73,0.0,0.0,-49,-52.32,Personal
74,0.0,0.0,-56,-52.4,Personal
75,0.0,0.0,-55,-52.64,Personal
76,0.0,0.0,-53,-52.666666666666664,Personal
77,0.0,0.0,-53,-52.52173913043478,Personal
78,0.0,0.0,-54,-52.4,Personal
79,0.0,0.0,-51,-52.55,Personal
80,0.0,0.0,-53,-52.88235294117647,Personal
81,0.0,0.0,-50,-52.705882352941174,Personal
82,0.0,0.0,-49,-52.294117647058826,Personal
83,0.0,0.0,-52,-52.23529411764706,Personal
84,0.0,0.0,-50,-52.0,Personal
85,0.0,0.0,-54,-52.111111111111114,Personal
86,0.0,0.0,-51,-52.05263157894737,Personal
87,0.0,0.0,-51,-51.89473684210526,Personal
88,0.0,0.0,-52,-51.73684210526316,Personal
89,0.0,0.0,-51,-51.89473684210526,Personal
90,0.0,0.0,-57,-52.15,Personal
91,0.0,0.0,-55,-52.45,Personal
92,0.0,0.0,-52,-52.388888888888886,Personal
93,0.0,0.0,-52,-52.22222222222222,Personal
94,0.0,0.0,-55,-52.333333333333336,Personal
95,0.0,0.0,-53,-52.36842105263158,Personal
96,0.0,0.0,-55,-52.473684210526315,Personal
97,0.0,0.0,-55,-52.6,Personal
98,0.0,0.0,-49,-52.42857142857143,Personal
99,0.0,0.0,-57,-52.65,Personal
100,0.0,0.0,-53,-52.666666666666664,Personal
101,0.0,0.0,-52,-53.0,Personal
102,0.0,0.0,-52,-53.42857142857143,Personal
103,0.0,0.0,-55,-53.714285714285715,Personal
104,0.0,0.0,-55,-53.57142857142857,Personal
105,0.0,0.0,-51,-53.285714285714285,Personal
106,0.0,0.0,-52,-53.2,Personal
107,0.0,0.0,-49,-52.9375,Personal
108,0.0,0.0,-57,-53.1764705882353,Personal
109,0.0,0.0,-49,-53.0,Personal
110,0.0,0.0,-52,-52.875,Personal
111,0.0,0.0,-49,-52.625,Personal
112,0.0,0.0,-53,-52.5,Personal
113,0.0,0.0,-53,-52.6,Personal
114,0.0,0.0,-55,-52.75,Personal
115,0.0,0.0,-51,-52.375,Personal
116,0.0,0.0,-57,-52.64705882352941,Personal
117,0.0,0.0,-49,-52.411764705882355,Personal
118,0.0,0.0,-52,-52.388888888888886,Personal
119,0.0,0.0,-55,-52.526315789473685,Personal
120,0.0,0.0,-49,-52.35,Personal
121,0.0,0.0,-52,-52.333333333333336,Personal
122,0.0,0.0,-51,-52.27272727272727,Personal
123,0.0,0.0,-52,-52.26086956521739,Personal
124,0.0,0.0,-58,-52.52173913043478,Personal
125,0.0,0.0,-52,-52.5,Personal
126,0.0,0.0,-53,-52.541666666666664,Personal
127,0.0,0.0,-49,-52.291666666666664,Personal
128,0.0,0.0,-51,-52.24,Personal
129,0.0,0.0,-57,-52.32,Personal
130,0.0,0.0,-49,-52.24,Personal
131,0.0,0.0,-53,-52.28,Personal
132,0.0,0.0,-54,-52.48,Personal
133,0.0,0.0,-52,-52.28,Personal
134,0.0,0.0,-52,-52.4,Personal
135,0.0,0.0,-54,-52.48,Personal
136,0.0,0.0,-55,-52.708333333333336,Personal
137,0.0,0.0,-54,-52.76,Personal
138,0.0,0.0,-50,-52.64,Personal
139,0.0,0.0,-54,-52.6,Personal
140,0.0,0.0,-50,-52.56,Personal
141,0.0,0.0,-49,-52.24,Personal
142,0.0,0.0,-51,-52.38095238095238,Personal
143,0.0,0.0,-53,-52.476190476190474,Personal
144,0.0,0.0,-49,-52.333333333333336,Personal
145,0.0,0.0,-52,-52.04761904761905,Personal
146,0.0,0.0,-56,-52.22727272727273,Personal
147,0.0,0.0,-56,-52.391304347826086,Personal
148,0.0,0.0,-52,-52.391304347826086,Personal
149,0.0,0.0,-52,-52.5,Personal
150,0.0,0.0,-49,-52.22222222222222,Personal
151,0.0,0.0,-52,-52.22222222222222,Personal
152,0.0,0.0,-48,-52.0,Personal
153,0.0,0.0,-52,-52.0,Personal
154,0.0,0.0,-49,-51.55555555555556,Personal
155,0.0,0.0,-53,-51.5,Personal
156,0.0,0.0,-50,-51.421052631578945,Personal
157,0.0,0.0,-54,-51.63157894736842,Personal
158,0.0,0.0,-53,-51.578947368421055,Personal
159,0.0,0.0,-48,-51.611111111111114,Personal
160,0.0,0.0,-57,-51.89473684210526,Personal
161,0.0,0.0,-57,-52.15,Personal
162,0.0,0.0,-58,-52.5,Personal
163,0.0,0.0,-55,-52.6,Personal
164,0.0,0.0,-55,-52.9,Personal
165,0.0,0.0,-53,-52.904761904761905,Personal
166,0.0,0.0,-53,-52.95238095238095,Personal
167,0.0,0.0,-53,-52.65,Personal
168,0.0,0.0,-57,-52.9,Personal
169,0.0,0.0,-49,-52.75,Personal
170,0.0,0.0,-50,-53.111111111111114,Personal
171,0.0,0.0,-52,-53.111111111111114,Personal
172,0.0,0.0,-57,-53.31578947368421,Personal
173,0.0,0.0,-55,-53.4,Personal
174,0.0,0.0,-53,-53.38095238095238,Personal
175,0.0,0.0,-50,-53.611111111111114,Personal
176,0.0,0.0,-53,-53.578947368421055,Personal
177,0.0,0.0,-49,-53.36842105263158,Personal
178,0.0,0.0,-49,-53.421052631578945,Personal
179,0.0,0.0,-55,-52.53333333333333,Personal
180,0.0,0.0,-54,-52.6,Personal
181,0.0,0.0,-55,-52.733333333333334,Personal
182,0.0,0.0,-50,-52.5625,Personal
183,0.0,0.0,-49,-52.3125,Personal
184,0.0,0.0,-56,-52.25,Personal
185,0.0,0.0,-51,-52.375,Personal
186,0.0,0.0,-54,-52.625,Personal
187,0.0,0.0,-52,-52.333333333333336,Personal
188,0.0,0.0,-49,-51.93333333333333,Personal
189,0.0,0.0,-56,-52.13333333333333,Personal
190,0.0,0.0,-53,-52.1875,Personal
191,0.0,0.0,-54,-52.294117647058826,Personal
192,0.0,0.0,-51,-52.22222222222222,Personal
193,0.0,0.0,-53,-52.8,Personal
194,0.0,0.0,-54,-52.875,Personal
195,0.0,0.0,-50,-52.705882352941174,Personal
196,0.0,0.0,-49,-52.5,Personal
197,0.0,0.0,-49,-52.31578947368421,Personal
198,0.0,0.0,-54,-52.4,Personal
199,0.0,0.0,-53,-52.42857142857143,Personal
200,0.0,0.0,-50,-52.19047619047619,Personal
201,0.0,0.0,-49,-51.95238095238095,Personal
202,0.0,0.0,-53,-51.857142857142854,Personal
203,0.0,0.0,-53,-52.0,Personal
204,0.0,0.0,-52,-52.0,Personal
205,0.0,0.0,-56,-52.17391304347826,Personal
206,0.0,0.0,-49,-52.17391304347826,Personal
207,0.0,0.0,-56,-52.17391304347826,Personal
208,0.0,0.0,-49,-52.041666666666664,Personal
209,0.0,0.0,-54,-52.166666666666664,Personal
210,0.0,0.0,-49,-51.958333333333336,Personal
211,0.0,0.0,-53,-52.0,Personal
212,0.0,0.0,-50,-51.92,Personal
213,0.0,0.0,-49,-51.92,Personal
214,0.0,0.0,-49,-51.80769230769231,Personal
215,0.0,0.0,-53,-51.56521739130435,Personal
216,0.0,0.0,-54,-51.5,Personal
217,0.0,0.0,-53,-51.63636363636363,Personal
218,0.0,0.0,-56,-51.95454545454545,Personal
219,0.0,0.0,-49,-51.857142857142854,Personal
220,0.0,0.0,-53,-51.95,Personal
221,0.0,0.0,-54,-52.111111111111114,Personal
222,0.0,0.0,-49,-51.875,Personal
223,0.0,0.0,-53,-51.6875,Personal
224,0.0,0.0,-54,-52.0,Personal
225,0.0,0.0,-49,-51.8235294117647,Personal
226,0.0,0.0,-50,-51.588235294117645,Personal
227,0.0,0.0,-53,-51.8235294117647,Personal
228,0.0,0.0,-53,-52.357142857142854,Personal
229,0.0,0.0,-49,-52.07142857142857,Personal
230,0.0,0.0,-53,-52.13333333333333,Personal
231,0.0,0.0,-54,-52.13333333333333,Personal
232,0.0,0.0,-49,-51.86666666666667,Personal
233,0.0,0.0,-54,-51.733333333333334,Personal
234,0.0,0.0,-54,-51.875,Personal
235,0.0,0.0,-50,-51.76470588235294,Personal
236,0.0,0.0,-53,-52.0,Personal
237,0.0,0.0,-54,-52.05882352941177,Personal
238,0.0,0.5,-51,-51.0,personal_space
239,0.0,0.5,-53,-52.0,personal_space
240,0.0,0.5,-50,-51.333333333333336,personal_space
241,0.0,0.5,-53,-51.75,personal_space
242,0.0,0.5,-54,-52.2,personal_space
243,0.0,0.5,-53,-52.333333333333336,personal_space
244,0.0,0.5,-50,-52.0,personal_space
245,0.0,0.5,-50,-51.75,personal_space
246,0.0,0.5,-52,-51.77777777777778,personal_space
247,0.0,0.5,-52,-51.8,personal_space
248,0.0,0.5,-52,-51.81818181818182,personal_space
249,0.0,0.5,-54,-52.0,personal_space
250,0.0,0.5,-53,-52.07692307692308,personal_space
251,0.0,0.5,-55,-52.285714285714285,personal_space
252,0.0,0.5,-50,-52.13333333333333,personal_space
253,0.0,0.5,-50,-52.0,personal_space
254,0.0,0.5,-51,-51.94117647058823,personal_space
255,0.0,0.5,-54,-52.05555555555556,personal_space
256,0.0,0.5,-55,-52.27777777777778,personal_space
257,0.0,0.5,-51,-52.166666666666664,personal_space
258,0.0,0.5,-53,-52.21052631578947,personal_space
259,0.0,0.5,-52,-52.2,personal_space
260,0.0,0.5,-51,-52.142857142857146,personal_space
261,0.0,0.5,-52,-52.13636363636363,personal_space
262,0.0,0.5,-51,-52.08695652173913,personal_space
263,0.0,0.5,-54,-52.166666666666664,personal_space
264,0.0,0.5,-51,-52.12,personal_space
265,0.0,0.5,-52,-52.11538461538461,personal_space
266,0.0,0.5,-50,-52.11538461538461,personal_space
267,0.0,0.5,-51,-52.03846153846154,personal_space
268,0.0,0.5,-55,-52.148148148148145,personal_space
269,0.0,0.5,-51,-52.0,personal_space
270,0.0,0.5,-51,-51.96296296296296,personal_space
271,0.0,0.5,-55,-52.148148148148145,personal_space
272,0.0,0.5,-50,-52.07142857142857,personal_space
273,0.0,0.5,-51,-52.107142857142854,personal_space
274,0.0,0.5,-51,-52.074074074074076,personal_space
275,0.0,0.5,-52,-52.074074074074076,personal_space
276,0.0,0.5,-51,-51.96296296296296,personal_space
277,0.0,0.5,-53,-51.96296296296296,personal_space
278,0.0,0.5,-55,-51.96296296296296,personal_space
279,0.0,0.5,-50,-51.892857142857146,personal_space
280,0.0,0.5,-50,-51.892857142857146,personal_space
281,0.0,0.5,-52,-51.89655172413793,personal_space
282,0.0,0.5,-54,-52.03448275862069,personal_space
283,0.0,0.5,-51,-52.0,personal_space
284,0.0,0.5,-54,-52.1,personal_space
285,0.0,0.5,-51,-51.89655172413793,personal_space
286,0.0,0.5,-50,-51.86206896551724,personal_space
287,0.0,0.5,-54,-51.89655172413793,personal_space
288,0.0,0.5,-50,-51.851851851851855,personal_space
289,0.0,0.5,-54,-51.916666666666664,personal_space
290,0.0,0.5,-54,-52.130434782608695,personal_space
291,0.0,0.5,-53,-52.04347826086956,personal_space
292,0.0,0.5,-55,-52.166666666666664,personal_space
293,0.0,0.5,-52,-52.26086956521739,personal_space
294,0.0,0.5,-51,-52.18181818181818,personal_space
295,0.0,0.5,-55,-52.36363636363637,personal_space
296,0.0,0.5,-51,-52.30434782608695,personal_space
297,0.0,0.5,-54,-52.43478260869565,personal_space
298,0.0,0.5,-53,-52.47826086956522,personal_space
299,0.0,0.5,-50,-52.40909090909091,personal_space
300,0.0,0.5,-52,-52.391304347826086,personal_space
301,0.0,0.5,-57,-52.59090909090909,personal_space
302,0.0,0.5,-56,-52.904761904761905,personal_space
303,0.0,0.5,-54,-52.904761904761905,personal_space
304,0.0,0.5,-51,-52.904761904761905,personal_space
305,0.0,0.5,-51,-52.76190476190476,personal_space
306,0.0,0.5,-50,-52.63636363636363,personal_space
307,0.0,0.5,-51,-52.7,personal_space
308,0.0,0.5,-48,-52.476190476190474,personal_space
309,0.0,0.5,-51,-52.523809523809526,personal_space
310,0.0,0.5,-51,-52.45454545454545,personal_space
311,0.0,0.5,-54,-52.52173913043478,personal_space
312,0.0,0.5,-51,-52.31818181818182,personal_space
313,0.0,0.5,-54,-52.391304347826086,personal_space
314,0.0,0.5,-52,-52.34782608695652,personal_space
315,0.0,0.5,-51,-52.1,personal_space
316,0.0,0.5,-53,-52.2,personal_space
317,0.0,0.5,-50,-51.94736842105263,personal_space
318,0.0,0.5,-53,-52.0,personal_space
319,0.0,0.5,-54,-52.095238095238095,personal_space
320,0.0,0.5,-54,-52.285714285714285,personal_space
321,0.0,0.5,-51,-52.23809523809524,personal_space
322,0.0,0.5,-54,-52.095238095238095,personal_space
323,0.0,0.5,-49,-51.76190476190476,personal_space
324,0.0,0.5,-53,-51.714285714285715,personal_space
325,0.0,0.5,-50,-51.63636363636363,personal_space
326,0.0,0.5,-50,-51.59090909090909,personal_space
327,0.0,0.5,-51,-51.59090909090909,personal_space
328,0.0,0.5,-52,-51.68181818181818,personal_space
329,0.0,0.5,-51,-51.68181818181818,personal_space
330,0.0,0.5,-54,-52.0,personal_space
331,0.0,0.5,-50,-51.95238095238095,personal_space
332,0.0,0.5,-52,-51.857142857142854,personal_space
333,0.0,0.5,-50,-51.77272727272727,personal_space
334,0.0,0.5,-50,-51.72727272727273,personal_space
335,0.0,0.5,-53,-51.68181818181818,personal_space
336,0.0,0.5,-51,-51.63636363636363,personal_space
337,0.0,0.5,-51,-51.608695652173914,personal_space
338,0.0,0.5,-52,-51.625,personal_space
339,0.0,0.5,-50,-51.583333333333336,personal_space
340,0.0,0.5,-54,-51.625,personal_space
341,0.0,0.5,-52,-51.64,personal_space
342,0.0,0.5,-51,-51.68,personal_space
343,0.0,0.5,-51,-51.5,personal_space
344,0.0,0.5,-54,-51.5,personal_space
345,0.0,0.5,-52,-51.52,personal_space
346,0.0,0.5,-54,-51.61538461538461,personal_space
347,0.0,0.5,-50,-51.55555555555556,personal_space
348,0.0,0.5,-52,-51.592592592592595,personal_space
349,0.0,0.5,-55,-51.629629629629626,personal_space
350,0.0,0.5,-52,-51.69230769230769,personal_space
351,0.0,0.5,-54,-51.92,personal_space
352,0.0,0.5,-54,-52.0,personal_space
353,0.0,0.5,-54,-52.11538461538461,personal_space
354,0.0,0.5,-52,-52.11538461538461,personal_space
355,0.0,0.5,-50,-52.07692307692308,personal_space
356,0.0,0.5,-50,-51.92307692307692,personal_space
357,0.0,0.5,-52,-52.0,personal_space
358,0.0,0.5,-50,-52.083333333333336,personal_space
359,0.0,0.5,-50,-51.958333333333336,personal_space
360,0.0,0.5,-54,-52.130434782608695,personal_space
