coordinate_X,coordinate_Y,rssi_Value,rolling_mean_rssi,zone
0.0,0.0,-58,-58.0,Personal
0.0,0.0,-58,-58.0,Personal
0.0,0.0,-58,-58.0,Personal
0.0,0.0,-58,-58.0,Personal
0.0,0.0,-59,-58.2,Personal
0.0,0.0,-59,-58.333333333333336,Personal
0.0,0.0,-60,-58.57142857142857,Personal
0.0,0.0,-60,-58.75,Personal
0.0,0.0,-60,-58.888888888888886,Personal
0.0,0.0,-61,-59.1,Personal
0.0,0.0,-61,-59.27272727272727,Personal
0.0,0.0,-61,-59.416666666666664,Personal
0.0,0.0,-61,-59.53846153846154,Personal
0.0,0.0,-61,-59.642857142857146,Personal
0.0,0.0,-61,-59.733333333333334,Personal
0.0,0.0,-61,-59.8125,Personal
0.0,0.0,-61,-59.88235294117647,Personal
0.0,0.0,-61,-59.94444444444444,Personal
0.0,0.0,-62,-60.05263157894737,Personal
0.0,0.0,-62,-60.15,Personal
0.0,0.0,-62,-60.23809523809524,Personal
0.0,0.0,-62,-60.31818181818182,Personal
0.0,0.0,-64,-60.47826086956522,Personal
0.0,0.0,-64,-60.625,Personal
0.0,0.0,-64,-60.76,Personal
0.0,0.0,-64,-60.88461538461539,Personal
0.0,0.0,-64,-61.0,Personal
0.0,0.0,-64,-61.107142857142854,Personal
0.0,0.0,-64,-61.206896551724135,Personal
0.0,0.0,-64,-61.3,Personal
0.0,0.0,-64,-61.38709677419355,Personal
0.0,0.0,-64,-61.46875,Personal
0.0,0.0,-64,-61.54545454545455,Personal
0.0,0.0,-64,-61.61764705882353,Personal
0.0,0.0,-64,-61.68571428571428,Personal
0.0,0.0,-63,-61.72222222222222,Personal
0.0,0.0,-63,-61.75675675675676,Personal
0.0,0.0,-63,-61.78947368421053,Personal
0.0,0.0,-63,-61.82051282051282,Personal
0.0,0.0,-63,-61.85,Personal
0.0,0.0,-63,-61.8780487804878,Personal
0.0,0.0,-62,-61.88095238095238,Personal
0.0,0.0,-62,-61.883720930232556,Personal
0.0,0.0,-62,-61.88636363636363,Personal
0.0,0.0,-62,-61.888888888888886,Personal
0.0,0.0,-62,-61.891304347826086,Personal
0.0,0.0,-62,-61.8936170212766,Personal
0.0,0.0,-61,-61.875,Personal
0.0,0.0,-62,-61.87755102040816,Personal
0.0,0.0,-62,-61.88,Personal
0.0,0.0,-62,-61.88235294117647,Personal
0.0,0.0,-62,-61.88461538461539,Personal
0.0,0.0,-62,-61.886792452830186,Personal
0.0,0.0,-62,-61.888888888888886,Personal
0.0,0.0,-62,-61.89090909090909,Personal
0.0,0.0,-62,-61.892857142857146,Personal
0.0,0.0,-63,-61.91228070175438,Personal
0.0,0.0,-62,-61.91379310344828,Personal
0.0,0.0,-63,-61.932203389830505,Personal
0.0,0.0,-63,-61.95,Personal
0.0,0.0,-63,-61.967213114754095,Personal
0.0,0.0,-63,-61.983870967741936,Personal
0.0,0.0,-63,-62.0,Personal
0.0,0.0,-64,-62.03125,Personal
0.0,0.0,-62,-62.03076923076923,Personal
0.0,0.0,-62,-62.03030303030303,Personal
0.0,0.0,-62,-62.02985074626866,Personal
0.0,0.0,-63,-62.044117647058826,Personal
0.0,0.0,-63,-62.05797101449275,Personal
0.0,0.0,-63,-62.07142857142857,Personal
0.0,0.0,-63,-62.08450704225352,Personal
0.0,0.0,-63,-62.09722222222222,Personal
0.0,0.0,-63,-62.10958904109589,Personal
0.0,0.0,-64,-62.13513513513514,Personal
0.0,0.0,-64,-62.16,Personal
0.0,0.0,-65,-62.19736842105263,Personal
0.0,0.0,-65,-62.23376623376623,Personal
0.0,0.0,-65,-62.26923076923077,Personal
0.0,0.0,-65,-62.30379746835443,Personal
0.0,0.0,-64,-62.325,Personal
0.0,0.0,-64,-62.34567901234568,Personal
0.0,0.0,-65,-62.3780487804878,Personal
0.0,0.0,-65,-62.40963855421687,Personal
0.0,0.0,-65,-62.44047619047619,Personal
0.0,0.0,-66,-62.48235294117647,Personal
0.0,0.0,-66,-62.52325581395349,Personal
0.0,0.0,-66,-62.5632183908046,Personal
0.0,0.0,-66,-62.60227272727273,Personal
0.0,0.0,-66,-62.640449438202246,Personal
0.0,0.0,-66,-62.67777777777778,Personal
0.0,0.0,-66,-62.714285714285715,Personal
0.0,0.0,-66,-62.75,Personal
0.0,0.0,-65,-62.774193548387096,Personal
0.0,0.0,-65,-62.797872340425535,Personal
0.0,0.0,-65,-62.82105263157895,Personal
0.0,0.0,-62,-62.8125,Personal
0.0,0.0,-61,-62.79381443298969,Personal
0.0,0.0,-62,-62.785714285714285,Personal
0.0,0.0,-62,-62.77777777777778,Personal
0.0,0.0,-61,-62.76,Personal
0.0,0.0,-61,-62.742574257425744,Personal
0.0,0.0,-61,-62.72549019607843,Personal
0.0,0.0,-61,-62.70873786407767,Personal
0.0,0.0,-61,-62.69230769230769,Personal
0.0,0.0,-61,-62.67619047619048,Personal
0.0,0.0,-61,-62.660377358490564,Personal
0.0,0.0,-62,-62.654205607476634,Personal
0.0,0.0,-62,-62.648148148148145,Personal
0.0,0.0,-62,-62.642201834862384,Personal
0.0,0.0,-62,-62.63636363636363,Personal
0.0,0.0,-62,-62.630630630630634,Personal
0.0,0.0,-62,-62.625,Personal
0.0,0.0,-62,-62.61946902654867,Personal
0.0,0.0,-62,-62.6140350877193,Personal
0.0,0.0,-62,-62.608695652173914,Personal
0.0,0.0,-62,-62.60344827586207,Personal
0.0,0.0,-62,-62.598290598290596,Personal
0.0,0.0,-62,-62.59322033898305,Personal
0.0,0.0,-63,-62.596638655462186,Personal
0.0,0.0,-63,-62.6,Personal
0.0,0.0,-63,-62.603305785123965,Personal
0.0,0.0,-63,-62.60655737704918,Personal
0.0,0.0,-63,-62.609756097560975,Personal
0.0,0.0,-63,-62.61290322580645,Personal
0.0,0.0,-63,-62.616,Personal
0.0,0.0,-63,-62.61904761904762,Personal
